split,row_i,n_points,n_classes_present,classes_present,only_bg,bg_points,fg_points
train,73,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,74,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,75,8192,11,"0,1,2,4,5,6,8,9,11,12,13",0,6554,1638
train,76,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,77,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,78,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,79,8192,12,"0,1,2,4,5,6,8,9,10,11,12,13",0,6554,1638
train,80,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,81,8192,1,0,1,8192,0
train,82,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,83,8192,11,"0,1,2,4,5,6,8,9,11,12,13",0,6554,1638
train,84,8192,12,"0,1,2,4,5,6,8,9,10,11,12,13",0,6554,1638
train,85,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,86,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,87,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,88,8192,14,"0,1,2,3,4,5,6,7,8,9,11,12,13,14",0,6554,1638
train,89,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,90,8192,12,"0,1,2,3,4,5,6,8,9,11,12,13",0,6554,1638
train,91,8192,13,"0,1,2,3,5,6,7,8,9,10,11,13,14",0,6554,1638
train,92,8192,13,"0,1,2,3,5,6,7,8,9,10,11,13,14",0,6554,1638
train,93,8192,1,0,1,8192,0
train,94,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,95,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,96,8192,12,"0,1,2,3,4,5,6,8,9,10,11,13",0,6554,1638
train,97,8192,12,"0,1,2,4,5,6,8,9,10,11,12,13",0,6554,1638
train,98,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,99,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,100,8192,13,"0,1,2,3,5,6,7,8,9,10,11,13,14",0,6554,1638
train,101,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,102,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,103,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,104,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,105,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,106,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,107,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,108,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,109,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,110,8192,1,0,1,8192,0
train,111,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,112,8192,12,"0,1,2,4,5,6,8,9,10,11,12,13",0,6554,1638
train,113,8192,1,0,1,8192,0
train,114,8192,13,"0,1,2,3,4,6,8,9,10,11,12,13,14",0,6554,1638
train,115,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,116,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,117,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,118,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,119,8192,11,"0,1,2,5,6,7,8,9,12,13,14",0,6554,1638
train,120,8192,12,"0,1,2,3,4,5,6,8,9,11,12,13",0,6554,1638
train,121,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,122,8192,13,"0,1,2,3,5,6,7,8,9,10,11,12,13",0,6554,1638
train,123,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,124,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,125,8192,13,"0,1,2,3,5,6,7,8,9,10,12,13,14",0,6554,1638
train,126,8192,13,"0,1,2,3,4,6,7,8,9,10,11,13,14",0,6554,1638
train,127,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,128,8192,1,0,1,8192,0
train,129,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,130,8192,1,0,1,8192,0
train,131,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,132,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,133,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,134,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,135,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,136,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,137,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,138,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,139,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,140,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,141,8192,14,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0,6554,1638
train,142,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,143,8192,1,0,1,8192,0
train,144,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,145,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,146,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,147,8192,1,0,1,8192,0
train,148,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,149,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,150,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,151,8192,13,"0,1,2,4,5,6,7,8,9,11,12,13,14",0,6554,1638
train,152,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,153,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,154,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,155,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,156,8192,14,"0,1,2,3,4,5,6,7,8,9,11,12,13,14",0,6554,1638
train,157,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,158,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,159,8192,12,"0,1,2,3,4,6,7,8,9,10,11,13",0,6554,1638
train,160,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,161,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,162,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,163,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,164,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,165,8192,14,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0,6554,1638
train,166,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,167,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,168,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,169,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,170,8192,14,"0,1,2,3,4,5,6,7,8,9,11,12,13,14",0,6554,1638
train,171,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,172,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,173,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,174,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,175,8192,11,"0,1,2,4,5,6,8,9,11,12,13",0,6554,1638
train,176,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,177,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,178,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,179,8192,1,0,1,8192,0
train,180,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,181,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,182,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,183,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,184,8192,12,"0,1,2,3,4,5,8,9,10,11,12,13",0,6554,1638
train,185,8192,1,0,1,8192,0
train,186,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,187,8192,14,"0,1,2,3,4,5,6,7,8,9,10,11,13,14",0,6554,1638
train,188,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,189,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,190,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,191,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,192,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,193,8192,14,"0,1,2,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,194,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,195,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,196,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,197,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,198,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,199,8192,13,"0,1,2,4,5,6,7,8,9,11,12,13,14",0,6554,1638
train,200,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,201,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,202,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,203,8192,12,"0,1,2,3,4,5,8,9,10,11,12,13",0,6554,1638
train,204,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,205,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,206,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,207,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,208,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,209,8192,12,"0,1,2,4,5,6,8,9,10,11,12,13",0,6554,1638
train,210,8192,1,0,1,8192,0
train,211,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,212,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,213,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,214,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,215,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,216,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,217,8192,10,"0,1,2,3,4,6,8,9,11,13",0,6554,1638
train,218,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,219,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,220,8192,14,"0,1,2,3,4,5,6,7,8,9,10,11,12,14",0,6554,1638
train,221,8192,13,"0,1,2,3,4,6,7,8,9,10,11,13,14",0,6554,1638
train,222,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,223,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,224,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,225,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,226,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,227,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,228,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,229,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,230,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,231,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,232,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,233,8192,12,"0,1,2,3,5,6,7,8,9,11,13,14",0,6554,1638
train,234,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,235,8192,11,"0,1,2,3,4,5,8,9,10,11,12",0,6554,1638
train,236,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,237,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,238,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,239,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,240,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,241,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,242,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,243,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,244,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,245,8192,14,"0,1,2,3,4,5,6,7,8,9,11,12,13,14",0,6554,1638
train,246,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,247,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,248,8192,1,0,1,8192,0
train,249,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,250,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,251,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,252,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,253,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,254,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,255,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,256,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,257,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,258,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,259,8192,12,"0,1,2,3,4,5,6,8,9,11,12,13",0,6554,1638
train,260,8192,13,"0,1,2,3,4,6,7,8,9,10,11,13,14",0,6554,1638
train,261,8192,1,0,1,8192,0
train,262,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,263,8192,13,"0,1,2,3,4,5,6,7,8,9,10,11,12",0,6554,1638
train,264,8192,14,"0,1,2,3,4,5,6,7,8,9,10,11,12,14",0,6554,1638
train,265,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,266,8192,1,0,1,8192,0
train,267,8192,14,"0,1,2,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,268,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,269,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,270,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,271,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,272,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,273,8192,1,0,1,8192,0
train,274,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,275,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,276,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,277,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,278,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,279,8192,11,"0,1,2,4,5,6,8,9,11,12,13",0,6554,1638
train,280,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,281,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,282,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,283,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,284,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,285,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,286,8192,14,"0,1,2,3,4,5,6,7,8,9,10,11,12,14",0,6554,1638
train,287,8192,11,"0,1,2,4,5,6,8,9,11,12,13",0,6554,1638
train,288,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,289,8192,14,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0,6554,1638
train,290,8192,13,"0,1,2,3,5,6,7,8,9,10,12,13,14",0,6554,1638
train,291,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,292,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,293,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,294,8192,12,"0,1,2,3,4,5,8,9,10,11,12,13",0,6554,1638
train,295,8192,13,"0,1,2,3,4,5,6,8,9,10,11,12,13",0,6554,1638
train,296,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,297,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,298,8192,14,"0,1,2,3,4,5,6,8,9,10,11,12,13,14",0,6554,1638
train,299,8192,13,"0,1,2,3,4,5,6,7,8,9,10,11,12",0,6554,1638
train,300,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,301,8192,12,"0,1,2,3,4,5,6,8,9,11,12,13",0,6554,1638
train,302,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,303,8192,12,"0,1,2,4,5,6,8,9,10,11,12,13",0,6554,1638
train,304,8192,13,"0,1,2,4,5,6,7,8,9,11,12,13,14",0,6554,1638
train,305,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,306,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,307,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,308,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,309,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,310,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
train,311,8192,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",0,6554,1638
