idx,pid,case_upper,case_lower
671,MNIAB8K3,MNIAB8K3,MNIAB8K3
118,018VF1PV,018VF1PV,018VF1PV
183,01EU1338,01EU1338,01EU1338
711,PKPW730K,PKPW730K,PKPW730K
100,0175DC9K,0175DC9K,0175DC9K
215,01HJK61N,01HJK61N,01HJK61N
151,01A6HG3N,01A6HG3N,01A6HG3N
251,01KKD7YK,01KKD7YK,01KKD7YK
61,0158JZXN,0158JZXN,0158JZXN
370,50O9GUWT,50O9GUWT,50O9GUWT
451,A9TECAGP,A9TECAGP,A9TECAGP
872,YQXY68KA,YQXY68KA,YQXY68KA
867,YCM36SR6,YCM36SR6,YCM36SR6
829,WQOGLZY4,WQOGLZY4,WQOGLZY4
144,019ZJY1H,019ZJY1H,019ZJY1H
383,5NMDP9FJ,5NMDP9FJ,5NMDP9FJ
11,013NUWYR,013NUWYR,013NUWYR
625,K4E9RKYU,K4E9RKYU,K4E9RKYU
473,BC0OWLNW,BC0OWLNW,BC0OWLNW
792,UNKC1VVC,UNKC1VVC,UNKC1VVC
417,7QW884Y4,7QW884Y4,7QW884Y4
540,F892DPWZ,F892DPWZ,F892DPWZ
407,79R5A68H,79R5A68H,79R5A68H
382,5N1YM01F,5N1YM01F,5N1YM01F
691,O9U99070,O9U99070,O9U99070
63,0158XRYK,0158XRYK,0158XRYK
200,01FPY2PZ,01FPY2PZ,01FPY2PZ
240,01K3G866,01K3G866,01K3G866
457,ANLLPLV7,ANLLPLV7,ANLLPLV7
257,01KXSC9K,01KXSC9K,01KXSC9K
713,PM5K088N,PM5K088N,PM5K088N
48,014Z13Z2,014Z13Z2,014Z13Z2
775,TVSR5QBQ,TVSR5QBQ,TVSR5QBQ
0,00OMSZGW,00OMSZGW,00OMSZGW
440,9M60SBBP,9M60SBBP,9M60SBBP
261,01M10NMV,01M10NMV,01M10NMV
126,019EJZFH,019EJZFH,019EJZFH
833,X273URFW,X273URFW,X273URFW
838,X7Z33TIA,X7Z33TIA,X7Z33TIA
763,SW62DGWI,SW62DGWI,SW62DGWI
413,7IKF2TIW,7IKF2TIW,7IKF2TIW
557,GBRCT97W,GBRCT97W,GBRCT97W
545,FHA6N618,FHA6N618,FHA6N618
147,01A6GW4A,01A6GW4A,01A6GW4A
712,PKVZEFCD,PKVZEFCD,PKVZEFCD
877,Z27UU3OM,Z27UU3OM,Z27UU3OM
452,AD8EQEUR,AD8EQEUR,AD8EQEUR
420,82J9I2HU,82J9I2HU,82J9I2HU
620,JXVWXY0L,JXVWXY0L,JXVWXY0L
716,PY6M5YZ2,PY6M5YZ2,PY6M5YZ2
708,P744BHYG,P744BHYG,P744BHYG
424,8BA4388V,8BA4388V,8BA4388V
705,P0YTJU57,P0YTJU57,P0YTJU57
376,58M9IXQ2,58M9IXQ2,58M9IXQ2
442,9R5CDLK4,9R5CDLK4,9R5CDLK4
773,TTW81N1R,TTW81N1R,TTW81N1R
813,VVUXTBF8,VVUXTBF8,VVUXTBF8
828,WME8HO0N,WME8HO0N,WME8HO0N
752,S8FFW0OP,S8FFW0OP,S8FFW0OP
80,0165W7J4,0165W7J4,0165W7J4
423,87N5YSES,87N5YSES,87N5YSES
769,T9NVJ8ZL,T9NVJ8ZL,T9NVJ8ZL
449,9YQIGSGN,9YQIGSGN,9YQIGSGN
804,VEAVRKX3,VEAVRKX3,VEAVRKX3
198,01FPR7JA,01FPR7JA,01FPR7JA
507,DBNTTNY9,DBNTTNY9,DBNTTNY9
176,01ECZRY6,01ECZRY6,01ECZRY6
392,6I8A5049,6I8A5049,6I8A5049
486,C6C00RHE,C6C00RHE,C6C00RHE
129,019GEJTN,019GEJTN,019GEJTN
662,M357DNS7,M357DNS7,M357DNS7
243,01KAS2KD,01KAS2KD,01KAS2KD
140,019Z31A2,019Z31A2,019Z31A2
199,01FPTYH2,01FPTYH2,01FPTYH2
87,016G9TFH,016G9TFH,016G9TFH
172,01E7MMEF,01E7MMEF,01E7MMEF
79,0160NTKK,0160NTKK,0160NTKK
466,AYSCFCO8,AYSCFCO8,AYSCFCO8
857,XNNFHCFV,XNNFHCFV,XNNFHCFV
115,018RHCTX,018RHCTX,018RHCTX
300,1419YTY4,1419YTY4,1419YTY4
649,LAFJJKAE,LAFJJKAE,LAFJJKAE
393,6KPUNI4X,6KPUNI4X,6KPUNI4X
561,GNR6QR3P,GNR6QR3P,GNR6QR3P
216,01HJKFR8,01HJKFR8,01HJKFR8
351,45UD35GC,45UD35GC,45UD35GC
668,MGYSCSI9,MGYSCSI9,MGYSCSI9
623,K2T9J4YW,K2T9J4YW,K2T9J4YW
37,014F2T8F,014F2T8F,014F2T8F
751,S5VIQ478,S5VIQ478,S5VIQ478
349,3XXKPMWE,3XXKPMWE,3XXKPMWE
327,2HVVCR7B,2HVVCR7B,2HVVCR7B
687,NZ9C9J2G,NZ9C9J2G,NZ9C9J2G
799,V9CAFAV4,V9CAFAV4,V9CAFAV4
468,B5GFZIRW,B5GFZIRW,B5GFZIRW
312,202Z1L1N,202Z1L1N,202Z1L1N
286,0KIUZ4G5,0KIUZ4G5,0KIUZ4G5
363,4OTQF1P6,4OTQF1P6,4OTQF1P6
887,ZGAEQQH7,ZGAEQQH7,ZGAEQQH7
260,01M0RWA6,01M0RWA6,01M0RWA6
757,SGIFTXFD,SGIFTXFD,SGIFTXFD
572,H8RSX6T2,H8RSX6T2,H8RSX6T2
421,85ARPPFY,85ARPPFY,85ARPPFY
171,01E66M2X,01E66M2X,01E66M2X
209,01FX95TX,01FX95TX,01FX95TX
352,460C7711,460C7711,460C7711
206,01FV7258,01FV7258,01FV7258
817,W06EM826,W06EM826,W06EM826
448,9Y5UP7GB,9Y5UP7GB,9Y5UP7GB
599,IFB97TD3,IFB97TD3,IFB97TD3
167,01E1XHG8,01E1XHG8,01E1XHG8
743,RWZ7MK1G,RWZ7MK1G,RWZ7MK1G
197,01FJTJU6,01FJTJU6,01FJTJU6
747,S14CSG9U,S14CSG9U,S14CSG9U
717,PYAY9ZYX,PYAY9ZYX,PYAY9ZYX
396,6PNM29W7,6PNM29W7,6PNM29W7
149,01A6HAN6,01A6HAN6,01A6HAN6
317,26CY2H2Q,26CY2H2Q,26CY2H2Q
477,BNQ3Q4G3,BNQ3Q4G3,BNQ3Q4G3
22,0140E7V2,0140E7V2,0140E7V2
191,01FC0082,01FC0082,01FC0082
470,B7ZCYID1,B7ZCYID1,B7ZCYID1
47,014X0F4K,014X0F4K,014X0F4K
190,01FAYE3T,01FAYE3T,01FAYE3T
812,VS5EECWH,VS5EECWH,VS5EECWH
330,2TPJ3FG9,2TPJ3FG9,2TPJ3FG9
648,LA67YYVJ,LA67YYVJ,LA67YYVJ
786,UHV31TFH,UHV31TFH,UHV31TFH
714,PP48V5RU,PP48V5RU,PP48V5RU
868,YJXIBVIM,YJXIBVIM,YJXIBVIM
794,V4CI6LT2,V4CI6LT2,V4CI6LT2
19,013Z8U5Z,013Z8U5Z,013Z8U5Z
878,Z4CBCCVE,Z4CBCCVE,Z4CBCCVE
236,01JZ8C06,01JZ8C06,01JZ8C06
7,013FWKMZ,013FWKMZ,013FWKMZ
897,mccarthy,mccarthy,mccarthy
759,SJDH33M1,SJDH33M1,SJDH33M1
803,VD3KNUMV,VD3KNUMV,VD3KNUMV
781,U8V34P1M,U8V34P1M,U8V34P1M
130,019GGYZ4,019GGYZ4,019GGYZ4
3,01343APK,01343APK,01343APK
549,FUYJPUPX,FUYJPUPX,FUYJPUPX
732,R3UKC00Q,R3UKC00Q,R3UKC00Q
462,AV3JBM98,AV3JBM98,AV3JBM98
726,QHBUEFZ2,QHBUEFZ2,QHBUEFZ2
380,5LP835GA,5LP835GA,5LP835GA
469,B7JSFJPG,B7JSFJPG,B7JSFJPG
569,H5EFRXCQ,H5EFRXCQ,H5EFRXCQ
306,1FKZ98MK,1FKZ98MK,1FKZ98MK
377,5J9O0LG3,5J9O0LG3,5J9O0LG3
320,28Q7CM3T,28Q7CM3T,28Q7CM3T
593,I8V5YEDR,I8V5YEDR,I8V5YEDR
186,01F4SYN8,01F4SYN8,01F4SYN8
616,JJEIMAPR,JJEIMAPR,JJEIMAPR
245,01KCA1CT,01KCA1CT,01KCA1CT
313,20AHRBL3,20AHRBL3,20AHRBL3
178,01EGTCG0,01EGTCG0,01EGTCG0
447,9VI3MAFZ,9VI3MAFZ,9VI3MAFZ
78,015XE9MT,015XE9MT,015XE9MT
850,XGOF741N,XGOF741N,XGOF741N
450,9ZI8RSEP,9ZI8RSEP,9ZI8RSEP
591,I3T81ZK8,I3T81ZK8,I3T81ZK8
233,01JHDRT4,01JHDRT4,01JHDRT4
693,OE8BA9EK,OE8BA9EK,OE8BA9EK
378,5JOHQLJK,5JOHQLJK,5JOHQLJK
816,VY5POH5L,VY5POH5L,VY5POH5L
81,01661EUZ,01661EUZ,01661EUZ
13,013NXP1H,013NXP1H,013NXP1H
510,DG27PDD4,DG27PDD4,DG27PDD4
29,0142CYK4,0142CYK4,0142CYK4
422,87ILJ6BK,87ILJ6BK,87ILJ6BK
415,7KRVT5N0,7KRVT5N0,7KRVT5N0
321,2AK5QKZ7,2AK5QKZ7,2AK5QKZ7
181,01ENPFHF,01ENPFHF,01ENPFHF
592,I8CPN1UN,I8CPN1UN,I8CPN1UN
689,O4WFMHT1,O4WFMHT1,O4WFMHT1
262,01M24NSZ,01M24NSZ,01M24NSZ
179,01EH2EGV,01EH2EGV,01EH2EGV
628,K8SZYQ72,K8SZYQ72,K8SZYQ72
456,AKHIE0CJ,AKHIE0CJ,AKHIE0CJ
38,014F9HTN,014F9HTN,014F9HTN
584,HT9XQCYL,HT9XQCYL,HT9XQCYL
237,01JZDW8K,01JZDW8K,01JZDW8K
222,01J07922,01J07922,01J07922
319,276N3YRC,276N3YRC,276N3YRC
498,CVTHSBS5,CVTHSBS5,CVTHSBS5
676,N49I3941,N49I3941,N49I3941
520,DWXU0WC3,DWXU0WC3,DWXU0WC3
23,0140U5D6,0140U5D6,0140U5D6
15,013TXGFK,013TXGFK,013TXGFK
73,015SUFFX,015SUFFX,015SUFFX
700,OQMRF1N4,OQMRF1N4,OQMRF1N4
311,1RT7WBH4,1RT7WBH4,1RT7WBH4
401,6VX3OJFR,6VX3OJFR,6VX3OJFR
156,01AFES4K,01AFES4K,01AFES4K
34,014996KX,014996KX,014996KX
475,BIIEY91S,BIIEY91S,BIIEY91S
284,0IU0UV8E,0IU0UV8E,0IU0UV8E
67,015DUP26,015DUP26,015DUP26
537,EUCFQ9KW,EUCFQ9KW,EUCFQ9KW
273,01MCNDR0,01MCNDR0,01MCNDR0
767,T4YI54O5,T4YI54O5,T4YI54O5
740,RSUL1J8U,RSUL1J8U,RSUL1J8U
723,QD5BSKK9,QD5BSKK9,QD5BSKK9
367,4TXFGFJS,4TXFGFJS,4TXFGFJS
669,MHDYIWUS,MHDYIWUS,MHDYIWUS
888,ZGH1UT1Q,ZGH1UT1Q,ZGH1UT1Q
580,HM1A4QZR,HM1A4QZR,HM1A4QZR
239,01K17AN8,01K17AN8,01K17AN8
145,019ZKUHV,019ZKUHV,019ZKUHV
291,0OF8OOCX,0OF8OOCX,0OF8OOCX
847,XD63NNJX,XD63NNJX,XD63NNJX
604,IODU1NRC,IODU1NRC,IODU1NRC
885,ZD89X7G1,ZD89X7G1,ZD89X7G1
586,HZH8DYC7,HZH8DYC7,HZH8DYC7
718,PYKS3V33,PYKS3V33,PYKS3V33
889,ZK06H6RE,ZK06H6RE,ZK06H6RE
170,01E5XG8Z,01E5XG8Z,01E5XG8Z
62,0158T9ED,0158T9ED,0158T9ED
372,54RS4WY0,54RS4WY0,54RS4WY0
406,78WMB1PB,78WMB1PB,78WMB1PB
858,XNNZTXK5,XNNZTXK5,XNNZTXK5
844,XBDVGZ7V,XBDVGZ7V,XBDVGZ7V
157,01AKES86,01AKES86,01AKES86
248,01KJXCTX,01KJXCTX,01KJXCTX
533,EK26QFUW,EK26QFUW,EK26QFUW
633,KC1RZ7D9,KC1RZ7D9,KC1RZ7D9
779,U1HFBZ1F,U1HFBZ1F,U1HFBZ1F
201,01FR2S9H,01FR2S9H,01FR2S9H
530,EBSXE6SY,EBSXE6SY,EBSXE6SY
821,W82LGNOE,W82LGNOE,W82LGNOE
571,H83RDQT1,H83RDQT1,H83RDQT1
387,67PV9M7X,67PV9M7X,67PV9M7X
778,U0YVRCMS,U0YVRCMS,U0YVRCMS
433,8XVU7PN9,8XVU7PN9,8XVU7PN9
379,5JRH5J6E,5JRH5J6E,5JRH5J6E
776,TZ2JPAJT,TZ2JPAJT,TZ2JPAJT
267,01M6SK94,01M6SK94,01M6SK94
165,01CJ68G2,01CJ68G2,01CJ68G2
64,0159CS26,0159CS26,0159CS26
766,T21AWMTR,T21AWMTR,T21AWMTR
331,2U54CEI3,2U54CEI3,2U54CEI3
10,013JX8W4,013JX8W4,013JX8W4
570,H79I7NHI,H79I7NHI,H79I7NHI
541,F92OKIOI,F92OKIOI,F92OKIOI
750,S307GDC6,S307GDC6,S307GDC6
588,I04GI3H5,I04GI3H5,I04GI3H5
205,01FUZ18R,01FUZ18R,01FUZ18R
559,GG5ARUVQ,GG5ARUVQ,GG5ARUVQ
601,IHKL3Y8N,IHKL3Y8N,IHKL3Y8N
324,2DZ821ZJ,2DZ821ZJ,2DZ821ZJ
177,01EDMPPZ,01EDMPPZ,01EDMPPZ
368,4W9X0QQI,4W9X0QQI,4W9X0QQI
558,GE7LXGDG,GE7LXGDG,GE7LXGDG
194,01FGGPZX,01FGGPZX,01FGGPZX
309,1QHIL7V2,1QHIL7V2,1QHIL7V2
622,K23X2RAU,K23X2RAU,K23X2RAU
195,01FGPDFR,01FGPDFR,01FGPDFR
825,WINM1RGX,WINM1RGX,WINM1RGX
303,1AX7AB2P,1AX7AB2P,1AX7AB2P
523,E11NEPB6,E11NEPB6,E11NEPB6
774,TUXRQYU8,TUXRQYU8,TUXRQYU8
476,BMQDU97G,BMQDU97G,BMQDU97G
650,LBY32W80,LBY32W80,LBY32W80
250,01KK775H,01KK775H,01KK775H
137,019T94KX,019T94KX,019T94KX
632,KBN31K7D,KBN31K7D,KBN31K7D
653,LHP32GAK,LHP32GAK,LHP32GAK
538,EVWJL2PL,EVWJL2PL,EVWJL2PL
2,0132CR0A,0132CR0A,0132CR0A
